Reference Designators,Quantity,Package,Value,Vendor Part Number,Vendor,Description,Manufacturer,Manufacturer Part Number,Top/Bottom,
,1,Board,,,,Board,,,,
"C2, C31",2,CAPC1608X85,0.1uF,399-C0603C104K3RACTUCT-ND,Digikey,Capacitor - ANSI,,,Top,
C30,1,CAPC2012X110,10uF,1292-0805X106K250CT-ND,Digikey,Capacitor - ANSI,,,Top,
"D58, D59",2,LEDC1608X80N_FLAT-G,CHIP-FLAT-G_0603-0.80MM,732-4980-1-ND,Digikey,Green LED - Generic,,,Bottom,
J1,1,2.8_TFT_DISPLAY_,62684-502100ALF,609-1202-1-ND,Digikey,,Amphenol,,Top,
J2,1,SFV16R-1STE1HLF,SFV16R-1STE1HLF,609-4313-1-ND,Digikey,,Amphenol,,Top,
PWR,1,KMR2,SPST-NO_SWITCH_KMR2,401-1426-1-ND,Digikey,SPST Switches with NO Configuration,C&K,KMR211G LFS,Bottom,
Q1,1,SOT23,SI2302A,4518-SI2302ACT-ND,Digikey,N-Channel MOSFET - Generic,,,Top,
"R1, R2, R3, R4",4,RESC1608X60,10,541-10.0HCT-ND,Digikey,Resistor Fixed - ANSI,,,Top,
"R5, R17",2,RESC1608X60,10K,541-10.0KHCT-ND,Digikey,Resistor Fixed - ANSI,,,Top,
"R9, R10",2,RESC1608X60,2.2K,541-2.20KHCT-ND,Digikey,Resistor Fixed - ANSI,,,Top,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10",10,"B1,27","TPB1,27",,,Test pad,,,Top,
U$1,1,SOT-23_DIO,APX803S-31SA-7,APX803S-31SA-7DICT-ND,Digikey,,,,Top,
U1,1,RGV16_2P16X2P16,TSC2046EIRGVRRGV16_2P16X2P16,296-46257-1-ND,Digikey,,,,Top,
