Reference Designators,Quantity,Package,Value,Vendor Part Number,Vendor,Description,Manufacturer,Manufacturer Part Number,Top/Bottom,
,1,Board,,,,Board,,,,
BAT,1,S2B-PH-SM4-TB,S2B-PH-SM4-TB,455-S2B-PH-SM4-TBCT-ND,Digikey,,JST,,Bottom,
"BOOT, RESET",2,KMR2,SPST-NO_SWITCH_KMR2,401-1426-1-ND,Digikey,SPST Switches with NO Configuration,C&K,KMR211G LFS,Bottom,
"C1, C6, C7, C8, C9, C10, C11, C12, C13, C14, C17, C20, C26, C27, C28, C31",16,CAPC1608X85,0.1uF,399-C0603C104K3RACTUCT-ND,Digikey,Capacitor - ANSI,,,Bottom,
"C2, C3",2,CAPC1608X85,15pF,732-7761-1-ND,Digikey,Capacitor - ANSI,,,Bottom,
"C4, C5, C33",2,CAPC1608X85,1uF,399-C0603C105K4RACTUCT-ND,Digikey,Capacitor - ANSI,,,Bottom,
"C15, C29, C30",3,CAPC2012X110,10uF,1292-0805X106K250CT-ND,Digikey,Capacitor - ANSI,,,Bottom,
"C16, C18, C19, C21, C32",5,CAPC2012X110,22uF,4713-GMC21X5R226M16NTCT-ND,Digikey,Capacitor - ANSI,,,Bottom,
"C22, C23",2,CAPC3216X135,100uF/6.3V,1276-CL31A107MQHNNWECT-ND,Digikey,Capacitor - ANSI,,,Bottom,
"C24, C25",2,CAPC1608X85,10nF,399-C0603C103K4RACTUCT-ND,Digikey,Capacitor - ANSI,,,Bottom,
D1,1,LEDC1608X80N_FLAT-G,CHIP-FLAT-G_0603-0.80MM,732-4980-1-ND,Digikey,Green LED - Generic,,,Bottom,
D2,1,LEDC1608X80N_FLAT-R,CHIP-FLAT-R_0603-0.80MM,732-4978-1-ND,Digikey,Red LED - Generic,,,Bottom,
"D4, D5",2,SODFL3718X115,MBR0520LT1G,MBR0520LT1GOSCT-ND,Digikey,Schottky Diode - Popular parts,ON Semiconductor,MBR0520LT1G,Bottom,
"GPAD_A, GPAD_B, GPAD_D, GPAD_L, GPAD_R, GPAD_U, GPAD_X, GPAD_Y, SELECT, START, SW_?, SW_., SW_}, SW_/, SW_A, SW_ALT, SW_B, SW_BSP, SW_C, SW_CMD, SW_CTL, SW_D, SW_E, SW_ENTER, SW_F, SW_G, SW_H, SW_I, SW_J, SW_K, SW_L, SW_M, SW_N, SW_O, SW_P, SW_Q, SW_R, SW_S, SW_SHFT, SW_SP1, SW_SP2, SW_SYM, SW_T, SW_TAB, SW_U, SW_V, SW_W, SW_X, SW_Y, SW_Z",50,TL3315NF100Q,TL3315NF100Q,EG4620CT-ND,Digikey,SWITCH TACTILE SPST-NO 0.05A 15V,E-Switch,TL3315NF100Q,Top,
J2,1,54-00177,54-00177,839-54-00177CT-ND,Digikey,,TENSILITY,,Bottom,
J3,1,MSD-4-A,MSD-4-A,2223-MSD-4-ACT-ND,Digikey,,CUI Devices,,Bottom,
J4,1,SFV16R-1STE1HLF,SFV16R-1STE1HLF,609-4313-1-ND,Digikey,,Amphenol,,Bottom,
J5,1,UJ20-C-H-G-SMT-5-P16-TR,UJ20-C-H-G-SMT-5-P16-TR,2223-UJ20-C-H-G-SMT-5-P16-TRCT-ND,Digikey,,Same Sky,,Bottom,
JP1,1,SMT-JUMPER_3_1-NC_TRACE_SILK,JUMPER-SMT_3_1-NC_TRACE_SILK,,,Normally closed trace jumper (1 of 2 connections),,,Bottom,
JP2,1,SMT-JUMPER_2_NC_TRACE_NO-SILK,JUMPER-SMT_2_NC_TRACE_NO-SILK,,,Normally closed trace jumper,,,Bottom,
L1,1,WE-XHMI_4020,1uH,732-11310-1-ND,Digikey,WE-XHMI SMT Power Inductor,,,Bottom,
Q1,1,SOT23,DMP1045UQ-7,31-DMP1045UQ-7CT-ND,Digikey,P-Channel MOSFET - Generic,,,Bottom,
Q2,1,SOT23,BSS138,BSS138CT-ND,Digikey,N-Channel MOSFET - Generic,,,Bottom,
"R1, R6, R7, R8, R9, R10, R11, R13, R17, R21, R23, R27, R28",13,RESC1608X60,10K,541-10.0KHCT-ND,Digikey,Resistor Fixed - ANSI,,,Bottom,
"R2, R3",2,RESC1608X60,1K,541-1.00KHCT-ND,Digikey,Resistor Fixed - ANSI,,,Bottom,
"R4, R5",2,RESC1608X60,27,541-27.0HCT-ND,Digikey,Resistor Fixed - ANSI,,,Bottom,
R12,1,RESC1608X60,13K,541-13.0KHCT-ND,Digikey,Resistor Fixed - ANSI,,,Bottom,
R14,1,RESC1608X60,600,541-604HCT-ND,Digikey,Resistor Fixed - ANSI,,,Bottom,
R15,1,RESC1608X60,732K,541-732KHCT-ND,Digikey,Resistor Fixed - ANSI,,,Bottom,
"R16, R24",2,RESC1608X60,100K,541-100KHCT-ND,Digikey,Resistor Fixed - ANSI,,,Bottom,
"R19, R20",2,RESC1608X60,5.1K,541-5.10KHCT-ND,Digikey,Resistor Fixed - ANSI,,,Bottom,
R22,1,RESC1608X60,2.2K,541-2.20KHCT-ND,Digikey,Resistor Fixed - ANSI,,,Bottom,
"R25, R26",2,RESC1608X60,200,541-200HCT-ND,Digikey,Resistor Fixed - ANSI,,,Bottom,
SPEAKER,1,SPKR_CMS-160925-078S,CMS-160925-078S,102-4619-ND,Digikey,,CUI INC,,Top,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14",14,"B1,27","TPB1,27",,,Test pad,,,Bottom,
U$1,1,CM0,CM0100000,,EDATEC,,,,Bottom,
U2,1,QFN40P700X700X90-57N,SC0914(13),2648-SC0914(13)CT-ND,Digikey,,Raspberry Pi,,Bottom,
U3,1,IC_BQ25185DLHR,BQ25185DLHR,296-BQ25185DLHRCT-ND,Digikey,,Texas Instruments,,Bottom,
U4,1,DRL0006A,TPS61023DRLRDRL0006A,296-TPS61023DRLRCT-ND,Digikey,,,,Bottom,
U5,1,SOP50P490X110-10N,FSUSB42MUX,FSUSB42MUXCT-ND,Digikey,,ON Semiconductor,,Bottom,
U6,1,MAX17048G+T10,MAX17048G+T10,MAX17048G+T10CT-ND,Digikey,,,,Bottom,
U7,1,TLV320DAC3100IRHBR,TLV320DAC3100IRHBR,296-27216-1-ND,Digikey,,,,Bottom,
U8,1,W25Q32JVZPIQ,W25Q32JVZPIQ,256-W25Q32JVZPIQ-TUBE-ND,Digikey,,,,Bottom,
Y1,1,XTAL_ABM8-272-T3,ABM8-272-T3,535-ABM8-272-T3CT-ND,Digikey,,ABRACON,,Bottom,
