BAT	6.25	17.88	180.00	S2B-PH-SM4-TB	JST_S2B-PH-SM4-TB
BOOT	27.25	7.00	270.00	SPST-NO_SWITCH_KMR2	KMR2
C1	24.25	32.75	0.00	0.1uF	CAPC1608X85
C10	14.50	14.75	0.00	0.1uF	CAPC1608X85
C11	28.00	14.75	180.00	0.1uF	CAPC1608X85
C12	21.25	23.00	90.00	0.1uF	CAPC1608X85
C13	20.25	10.25	270.00	0.1uF	CAPC1608X85
C14	14.50	20.50	0.00	0.1uF	CAPC1608X85
C15	5.00	28.25	180.00	10uF	CAPC2012X110
C16	8.50	28.25	0.00	22uF	CAPC2012X110
C17	15.00	45.50	0.00	0.1uF	CAPC1608X85
C18	23.00	46.00	90.00	22uF	CAPC2012X110
C19	25.50	46.00	90.00	22uF	CAPC2012X110
C2	24.25	10.25	90.00	15pF	CAPC1608X85
C20	11.75	5.00	180.00	0.1uF	CAPC1608X85
C21	9.50	24.75	270.00	22uF	CAPC2012X110
C22	74.50	38.00	90.00	100uF/6.3V	CAPC3216X135
C23	74.50	33.00	270.00	100uF/6.3V	CAPC3216X135
C24	12.25	45.50	90.00	10nF	CAPC1608X85
C25	23.00	42.50	90.00	10nF	CAPC1608X85
C26	77.00	51.25	90.00	0.1uF	CAPC1608X85
C27	68.95	48.00	0.00	0.1uF	CAPC1608X85
C28	68.95	50.00	0.00	0.1uF	CAPC1608X85
C29	78.75	42.25	180.00	10uF	CAPC2012X110
C3	19.00	6.75	90.00	15pF	CAPC1608X85
C30	70.25	42.75	180.00	10uF	CAPC2012X110
C31	79.00	51.25	90.00	0.1uF	CAPC1608X85
C32	28.00	46.00	90.00	22uF	CAPC2012X110
C33	70.38	38.25	270.00	1uF	CAPC1608X85
C4	17.00	23.00	90.00	1uF	CAPC1608X85
C5	19.25	23.00	90.00	1uF	CAPC1608X85
C6	18.25	10.25	270.00	0.1uF	CAPC1608X85
C7	25.25	23.00	90.00	0.1uF	CAPC1608X85
C8	28.00	22.50	180.00	0.1uF	CAPC1608X85
C9	28.00	20.50	180.00	0.1uF	CAPC1608X85
D1	1.75	29.25	180.00	CHIP-FLAT-G_0603-0.80MM	LEDC1608X80N_FLAT-G
D2	1.75	43.25	180.00	CHIP-FLAT-R_0603-0.80MM	LEDC1608X80N_FLAT-R
